id	name	itemExplain	itemType	spritePath
0	도끼	나무를 부술 수 있는 도구이다.	Tool	Sprites/Item/도끼
1	곡괭이	돌을 부술 수 있는 도구이다.	Tool	Sprites/Item/곡괭이
2	괭이	땅을 팔 수 있는 도구이다.	Tool	Sprites/Item/괭이
3	물뿌리개	땅에 물을 뿌릴 수 있는 도구이다.	Tool	Sprites/Item/물뿌리개
4	파스닙	당근 친척	Food	Sprites/Item/파스닙
5	콜리플라워	브로콜리 친척	Food	Sprites/Item/콜리플라워
6	딸기	딸기	Food	Sprites/Item/딸기
7	씨앗 모음	정체 모를 씨앗이다.	Seed	Sprites/Item/씨앗 모음
8	파스닙 씨앗	땅에 심으면 파스닙이 자란다.	Seed	Sprites/Item/파스닙 씨앗
9	콜리플라워 씨앗	땅에 심으면 콜리플라워가 자란다.	Seed	Sprites/Item/콜리플라워 씨앗
10	딸기 씨앗	딸기 씨앗	Seed	Sprites/Item/딸기 씨앗
11	아이스크림	얼음과자	Food	Sprites/Item/아이스크림
12	생존식 버거	고기겹빵	Food	Sprites/Item/생존식 버거
13	계란 프라이	구운 닭알	Food	Sprites/Item/계란 프라이
14	치즈 콜리플라워	보기만해도 느끼하다	Food	Sprites/Item/치즈 콜리플라워
